#####################################################################################
## Column descriptions:
## GRBname: GRB name.
## Trig_ID: Special ID associated with the trigger. The observation ID of the event data used in this analysis is 00"Trid_ID"000. For GRBs found in ground analysis, the ID are associated with the trigger ID of the failed event data, or the full observation ID of the event data for the analysis.
## XX_XX keV: Energy fluence in XX - XX keV, with unit of erg/cm^2.
## XX_XXkeV_low: The lower limit of energy fluence in XX - XX keV (90% confidence region).
## XX_XXkeV_hi: The upper limit of energy fluence in XX - XX keV (90% confidence region).
## Exposure_time: The time interval of the spectrum, in unit of sec.
## Spectrum_start: The start time of the spectrum, relative to the BAT trigger time, in unit of sec.
## Spectrum_stop: The end time of the spectrum, relative to the BAT trigger time, in unit of sec. 
## *Special note: the original XSPEC fit report log10(flux). Thus the value 1.0 indicate the original fit of log10(flux) = 0.0.
#####################################################################################
#####################################################################################
## GRBname | Trig_ID | 15_25kev | 15_25kev_low | 15_25kev_hi | 25_50kev | 25_50kev_low | 25_50kev_hi | 50_100kev | 50_100kev_low | 50_100kev_hi | 100_150kev | 100_150kev_low | 100_150kev_hi | 100_350kev | 100_350kev_low | 100_350kev_hi | 15_150kev | 15_150kev_low | 15_150kev_hi | 15_350kev | 15_350kev_low | 15_350kev_hi | Exposure_time | Spectrum_start | Spectrum_stop | comment
GRB191218A   |    944916    | 6.750495e-07 | 5.962599e-07 | 7.575575e-07 | 1.567818e-06 | 1.455880e-06 | 1.678980e-06 | 2.887657e-06 | 2.721922e-06 | 3.052781e-06 | 2.713037e-06 | 2.473692e-06 | 2.957983e-06 | 1.273578e-05 | 1.111157e-05 | 1.451997e-05 | 7.843605e-06 | 7.410468e-06 | 8.277052e-06 | 1.786593e-05 | 1.617356e-05 | 1.969000e-05 | 46.26 | -0.232000 | 46.032000 |  
GRB191213A   |    944091    | 2.879773e-07 | 2.436791e-07 | 3.340091e-07 | 5.311269e-07 | 4.811587e-07 | 5.807087e-07 | 7.542898e-07 | 6.610408e-07 | 8.469510e-07 | 5.806417e-07 | 4.721155e-07 | 6.982458e-07 | 2.256463e-06 | 1.706390e-06 | 2.920305e-06 | 2.154012e-06 | 1.933118e-06 | 2.377597e-06 | 3.829907e-06 | 3.199398e-06 | 4.553321e-06 | 144.6 | -33.524000 | 111.068000 |  
GRB191123A   |    939079    | 1.951370e-07 | 1.536667e-07 | 2.379138e-07 | 3.191315e-07 | 2.718377e-07 | 3.663868e-07 | 3.952937e-07 | 3.056045e-07 | 4.865413e-07 | 2.736149e-07 | 1.862944e-07 | 3.760361e-07 | 9.689684e-07 | 5.905268e-07 | 1.486003e-06 | 1.183150e-06 | 9.718286e-07 | 1.400586e-06 | 1.878494e-06 | 1.396046e-06 | 2.474171e-06 | 339 | -3.048000 | 335.968000 |  
GRB191122A   |    938899    | 1.060327e-06 | 9.916988e-07 | 1.130446e-06 | 1.763314e-06 | 1.694259e-06 | 1.832229e-06 | 2.226279e-06 | 2.116117e-06 | 2.336306e-06 | 1.564155e-06 | 1.443443e-06 | 1.688806e-06 | 5.610089e-06 | 5.031759e-06 | 6.231171e-06 | 6.614085e-06 | 6.351111e-06 | 6.877803e-06 | 1.066006e-05 | 9.996080e-06 | 1.135664e-05 | 207.2 | -11.120000 | 196.104000 |  
GRB191106A   |    933515    | 2.069316e-08 | 1.651417e-08 | 2.518006e-08 | 5.504742e-08 | 4.816892e-08 | 6.181115e-08 | 1.180013e-07 | 1.056713e-07 | 1.302407e-07 | 1.243274e-07 | 1.046687e-07 | 1.450864e-07 | 6.563521e-07 | 5.092332e-07 | 8.342705e-07 | 3.180730e-07 | 2.851063e-07 | 3.512181e-07 | 8.500939e-07 | 6.960123e-07 | 1.031257e-06 | 3.736 | -1.356000 | 2.380000 |  
GRB191101A   |    932742    | 3.203418e-07 | 2.705912e-07 | 3.718979e-07 | 5.109561e-07 | 4.595086e-07 | 5.623201e-07 | 6.151112e-07 | 5.227133e-07 | 7.075443e-07 | 4.163932e-07 | 3.241408e-07 | 5.181238e-07 | 1.447117e-06 | 1.042710e-06 | 1.943406e-06 | 1.862788e-06 | 1.647797e-06 | 2.080528e-06 | 2.893501e-06 | 2.395375e-06 | 3.463727e-06 | 164.7 | -21.244000 | 143.504000 |  
GRB191031D   |    932608    | 2.354935e-08 | 1.939094e-08 | 2.794466e-08 | 6.620167e-08 | 5.901995e-08 | 7.324855e-08 | 1.509103e-07 | 1.365711e-07 | 1.651121e-07 | 1.664980e-07 | 1.425276e-07 | 1.915177e-07 | 9.231643e-07 | 7.338189e-07 | 1.146011e-06 | 4.071636e-07 | 3.681874e-07 | 4.463639e-07 | 1.163828e-06 | 9.657816e-07 | 1.391871e-06 | 0.34 | -0.032000 | 0.308000 |  
GRB191031C   |    932595    | 1.005672e-06 | 9.340847e-07 | 1.078937e-06 | 1.774787e-06 | 1.698425e-06 | 1.850829e-06 | 2.397487e-06 | 2.279430e-06 | 2.515163e-06 | 1.775401e-06 | 1.639103e-06 | 1.915650e-06 | 6.665401e-06 | 5.972639e-06 | 7.410480e-06 | 6.953225e-06 | 6.665708e-06 | 7.241630e-06 | 1.184339e-05 | 1.106665e-05 | 1.265920e-05 | 104.5 | -37.984000 | 66.492000 |  
GRB191031A   |    932435    | 7.369853e-08 | 6.046705e-08 | 8.763525e-08 | 1.637943e-07 | 1.453078e-07 | 1.820534e-07 | 2.871368e-07 | 2.538685e-07 | 3.201612e-07 | 2.598118e-07 | 2.150992e-07 | 3.074176e-07 | 1.175192e-06 | 9.022955e-07 | 1.501685e-06 | 7.844383e-07 | 6.999207e-07 | 8.695385e-07 | 1.699764e-06 | 1.401906e-06 | 2.042485e-06 | 14.86 | -6.264000 | 8.596000 |  
GRB191029A   |    932058    | 2.023894e-07 | 1.700465e-07 | 2.358673e-07 | 3.121748e-07 | 2.788610e-07 | 3.454760e-07 | 3.616828e-07 | 3.008208e-07 | 4.229683e-07 | 2.376008e-07 | 1.792908e-07 | 3.029618e-07 | 8.053744e-07 | 5.592524e-07 | 1.114238e-06 | 1.113853e-06 | 9.732353e-07 | 1.256921e-06 | 1.681620e-06 | 1.369960e-06 | 2.043091e-06 | 46 | -4.000000 | 42.000000 |  
