#####################################################################################
## Column descriptions:
## GRBname: GRB name.
## Trig_ID: Special ID associated with the trigger. The observation ID of the event data used in this analysis is 00"Trid_ID"000. For GRBs found in ground analysis, the ID are associated with the trigger ID of the failed event data, or the full observation ID of the event data for the analysis.
## Best-fit model: Best-fit model, either simple power law (PL) or cutoff power law (CPL). N/A means not applicable.
#####################################################################################
#####################################################################################
GRB200127A |   952791  | PL
GRB200125A |   952164  | PL
GRB200122A |   950330  | PL
GRB200115A |   949361  | CPL
GRB200109A |   948361  | PL
GRB200107B |   948219  | PL
GRB191228A |   946476  | PL
GRB191227A |   946344  | PL
GRB191221B |   945521  | PL
GRB191220A |   945344  | PL
GRB191218A |   944916  | PL
GRB191213A |   944091  | N/A
GRB191130A |   03110538005  | N/A
GRB191123A |   939079  | PL
GRB191122A |   938899  | CPL
GRB191106A |   933515  | PL
GRB191101A |   932742  | PL
GRB191031D |   932608  | PL
GRB191031C |   932595  | PL
GRB191031A |   932435  | PL
GRB191029A |   932058  | PL
GRB191024A |   931242  | N/A
GRB191019A |   930285  | PL
GRB191017B |   929981  | PL
GRB191016A |   929744  | PL
GRB191011A |   928924  | PL
GRB191004B |   927839  | PL
GRB191004A |   927825  | PL
GRB191001B |   927345  | PL
GRB190926A |   926515  | PL
GRB190829A |   922968  | PL
GRB190828B |   922808  | PL
GRB190824A |   922107  | PL
GRB190821A |   921722  | PL
GRB190816A |   920783  | PL
GRB190727B |   916733  | PL
GRB190719C |   915381  | PL
GRB190718A |   915091  | N/A
GRB190706B |   913302  | PL
GRB190701A |   912310  | PL
GRB190630C |   912239  | PL
GRB190630B |   912102  | PL
GRB190627A |   911609  | PL
GRB190613B |   908329  | N/A
GRB190613A |   908288  | PL
GRB190611A |   907950  | PL
GRB190610A |   907754  | PL
GRB190604B |   906654  | PL
GRB190519A |   904394  | N/A
GRB190515B |   903845  | PL
GRB190512A |   903357  | PL
GRB190511A |   903158  | PL
GRB190427A |   900730  | PL
GRB190424A |   900285  | PL
GRB190422A |   899979  | PL
GRB190331A |   895813  | PL
GRB190326A |   895006  | N/A
GRB190324A |   894718  | PL
GRB190320A |   893808  | PL
GRB190311A |   892607  | PL
GRB190220A |   889785  | N/A
GRB190219A |   889748  | PL
GRB190211A |   888648  | PL
GRB190204A |   887579;887580  | PL
GRB190203A |   887512   | PL
GRB190202A |   887217   | PL
GRB190123A |   885314   | PL
GRB190114C |   883832   | N/A
GRB190114B |   883818   | PL
GRB190114A |   883600   | PL
GRB190110A |   883012   | PL
GRB190109B |   882809   | PL
GRB190109A |   882747   | CPL
GRB190106A |   882252   | PL
GRB190103B |   881709   | CPL
GRB181228A |   879909   | PL
GRB181224A |   878911   | PL
GRB181213A |   876016   | PL
GRB181203A |   874475   | PL
GRB181202A |   874334   | PL
GRB181126A |   873539   | CPL
GRB181125A |   873433   | N/A
GRB181123B |   873186   | N/A
GRB181110A |   871316   | PL
GRB181103A |   870201   | PL
GRB181030A |   869494   | PL
GRB181027A |   868984   | PL
GRB181023A |   868427   | N/A
GRB181022A |   868312   | PL
GRB181020A |   867987   | PL
GRB181016A |   867252   | PL
GRB181013A |   866783   | N/A
GRB181010A |   866434   | PL
GRB181003A |   865179   | PL
GRB181002A |   865036   | PL
GRB180930A |   864584   | PL
GRB180925A |   863421   | PL
GRB180924A |   863186   | PL
GRB180905A |   859421   | PL
GRB180904A |   859282   | PL
GRB180828A |   856977   | PL
GRB180823A |   855434   | PL
GRB180821A |   854578   | PL
GRB180818B |   853882   | PL
GRB180818A |   853824   | PL
GRB180812A |   852903   | PL
GRB180809B |   852553   | PL
GRB180805B |   851855   | PL
GRB180805A |   851829   | PL
GRB180728A |   850471   | PL
GRB180727A |   850231   | CPL
GRB180721A |   849018   | PL
GRB180720C |   848932   | PL
GRB180720B |   848890   | PL
GRB180718A |   848489   | N/A
GRB180715A |   848048   | PL
GRB180709A |   846868   | PL
GRB180706A |   846395   | PL
GRB180705A |   846299   | PL
GRB180704A |   846088   | N/A
GRB180630A |   845443   | PL
GRB180626A |   844615   | PL
GRB180624A |   844192   | PL
GRB180623A |   844015   | PL
GRB180620B |   843211   | CPL
GRB180620A |   843122   | N/A
GRB180618A |   842475   | N/A
GRB180614A |   841548   | PL
GRB180613A |   840853   | N/A
GRB180602A |   835200   | PL
GRB180514A |   832368   | PL
GRB180512A |   832119   | PL
GRB180510B |   831816   | PL
GRB180510A |   831810   | CPL
GRB180504A |   830822   | PL
GRB180425A |   828672   | PL
GRB180418A |   826428   | CPL
GRB180411A |   824451   | PL
GRB180410A |   824063   | PL
GRB180407A |   823001   | PL
GRB180404B |   821902   | PL
GRB180404A |   821881   | PL
GRB180402A |   821103   | N/A
GRB180331B |   820513   | PL
GRB180331A |   820347   | PL
GRB180329B |   819490   | CPL
GRB180329A |   819301   | PL
GRB180325A |   817564   | PL
GRB180324A |   817345   | PL
GRB180316A |   814677   | PL
GRB180314B |   814305   | PL
GRB180314A |   814129   | CPL
GRB180311A |   813721   | PL
GRB180224A |   811561   | PL
GRB180222A |   811235   | PL
GRB180221A |   811074   | PL
GRB180205A |   808625   | PL
GRB180204A |   808483   | N/A
GRB180115A |   805318   | PL
GRB180113A |   804999   | N/A
GRB180111A |   804692   | PL
GRB180103A |   803066   | PL
GRB180102A |   802999   | PL
GRB171222A |   799669   | PL
GRB171216A |   797441   | N/A
GRB171212A |   796778   | PL
GRB171211A |   796469   | PL
GRB171209A |   796100   | PL
GRB171205A |   794972   | PL
GRB171123A |   791922   | PL
GRB171120A |   791201   | CPL
GRB171115A |   790053   | PL
GRB171103A |   785850   | PL
GRB171102B |   785510   | PL
GRB171027A |   783479   | PL
GRB171020A |   780845   | PL
GRB171011A |   778154   | PL
GRB171010B |   778019   | PL
GRB171007A |   777215   | N/A
GRB171004A |   776347   | PL
GRB171001A |   775553   | PL
GRB170921A |   773509   | PL
GRB170912B |   772052   | PL
GRB170912A |   772006   | PL
GRB170906C |   770981   | CPL
GRB170906B |   770958   | N/A
GRB170906A |   770957   | PL
GRB170903A |   770528   | N/A
GRB170827A |   769567   | PL
GRB170823A |   769177   | PL
GRB170822A |   768939   | PL
GRB170813A |   767563   | PL
GRB170810A |   767284   | PL
GRB170807A |   766821   | PL
GRB170804A |   766194   | PL
GRB170803A |   766081   | CPL
GRB170728B |   765130   | PL
GRB170728A |   765008   | PL
GRB170724A |   764204   | PL
GRB170714A |   762535   | PL
GRB170711A |   761622   | PL
GRB170710B |   00086619001  | PL
GRB170710A |   761119   | PL
GRB170705A |   760064   | PL
GRB170629A |   759159   | PL
GRB170626A |   758766   | CPL
GRB170607A |   756284   | PL
GRB170604A |   755867   | PL
GRB170531B |   755354   | PL
GRB170531A |   755343   | PL
GRB170526A |   754549   | PL
GRB170524B |   00753445006   | N/A
GRB170524A |   754322   | PL
GRB170519A |   753445   | PL
GRB170516A |   753110   | PL
GRB170428A |   750298   | N/A
GRB170419B |   748947   | PL
GRB170419A |   748898   | PL
GRB170405A |   745797   | PL
GRB170331A |   744791   | PL
GRB170330A |   744773   | PL
GRB170325A |   00034941009  | PL
GRB170318B |   743086   | PL
GRB170318A |   743065   | N/A
GRB170317A |   742866   | N/A
GRB170311A |   741965   | PL
GRB170307A |   741528   | PL
GRB170306A |   741220   | PL
GRB170208B |   737463   | CPL
GRB170208A |   737438   | N/A
GRB170206B |   737125   | N/A
GRB170205A |   736843   | PL
GRB170203A |   736432   | PL
GRB170202A |   736407   | PL
GRB170131A |   736107   | N/A
GRB170127B |   735331   | PL
GRB170127A |   735326   | PL
GRB170126A |   735188   | PL
GRB170115A |   733103   | PL
GRB170113A |   732526   | CPL
GRB170112A |   732188   | N/A
GRB170111A |   731887   | PL
