#####################################################################################
## Column descriptions:
## GRBname: GRB name.
## Trig_ID: Special ID associated with the trigger. The observation ID of the event data used in this analysis is 00"Trid_ID"000. For GRBs found in ground analysis, the ID are associated with the trigger ID of the failed event data, or the full observation ID of the event data for the analysis.
## XX_XX keV: Energy fluence in XX - XX keV, with unit of erg/cm^2.
## XX_XXkeV_low: The lower limit of energy fluence in XX - XX keV (90% confidence region).
## XX_XXkeV_hi: The upper limit of energy fluence in XX - XX keV (90% confidence region).
## Exposure_time: The time interval of the spectrum, in unit of sec.
## Spectrum_start: The start time of the spectrum, relative to the BAT trigger time, in unit of sec.
## Spectrum_stop: The end time of the spectrum, relative to the BAT trigger time, in unit of sec. 
## *Special note: the original XSPEC fit report log10(flux). Thus the value 1.0 indicate the original fit of log10(flux) = 0.0.
#####################################################################################
#####################################################################################
## GRBname | Trig_ID | 15_25kev | 15_25kev_low | 15_25kev_hi | 25_50kev | 25_50kev_low | 25_50kev_hi | 50_100kev | 50_100kev_low | 50_100kev_hi | 100_150kev | 100_150kev_low | 100_150kev_hi | 100_350kev | 100_350kev_low | 100_350kev_hi | 15_150kev | 15_150kev_low | 15_150kev_hi | 15_350kev | 15_350kev_low | 15_350kev_hi | Exposure_time | Spectrum_start | Spectrum_stop | comment
GRB191218A   |    944916    | 6.467786e-07 | 5.418207e-07 | 7.240953e-07 | 1.575164e-06 | 1.460480e-06 | 1.690385e-06 | 2.939853e-06 | 2.835539e-06 | 3.153956e-06 | 2.657392e-06 | 2.370258e-06 | 2.911894e-06 | 1.086490e-05 | 7.254970e-06 | 1.436004e-05 | 7.819258e-06 | 7.379816e-06 | 8.258016e-06 | 1.602675e-05 | 1.244645e-05 | 1.843850e-05 | 46.26 | -0.232000 | 46.032000 |  
GRB191213A   |    944091    | 2.905483e-07 | 2.374151e-07 | 3.389755e-07 | 5.268515e-07 | 4.810258e-07 | 5.831876e-07 | 7.490284e-07 | 6.610408e-07 | 8.470486e-07 | 6.153019e-07 | N/A | N/A | 2.381433e-06 | 1.122608e-06 | 2.577854e-06 | 2.179106e-06 | 1.929605e-06 | 2.374041e-06 | 3.717905e-06 | 2.658754e-06 | 4.521664e-06 | 144.6 | -33.524000 | 111.068000 |  
GRB191123A   |    939079    | 1.859130e-07 | 1.401876e-07 | 2.317020e-07 | 3.517627e-07 | 2.834717e-07 | 4.282621e-07 | 3.778677e-07 | 2.424040e-07 | 4.830808e-07 | 1.564119e-07 | 2.423816e-08 | 3.465611e-07 | 2.614747e-07 | 2.611558e-08 | 1.093276e-06 | 1.071889e-06 | 8.116518e-07 | 1.348993e-06 | 1.178175e-06 | 8.158113e-07 | 2.093629e-06 | 339 | -3.048000 | 335.968000 |  
GRB191122A   |    938899    | 9.670965e-07 | 8.839135e-07 | 1.051864e-06 | 1.838865e-06 | 1.757680e-06 | 1.921055e-06 | 2.286282e-06 | 2.166655e-06 | 2.406854e-06 | 1.279999e-06 | 1.091440e-06 | 1.472786e-06 | 2.868730e-06 | 2.049414e-06 | 4.084602e-06 | 6.372206e-06 | 6.077427e-06 | 6.666836e-06 | 7.961038e-06 | 7.093486e-06 | 9.193899e-06 | 207.2 | -11.120000 | 196.104000 |  
GRB191106A   |    933515    | 1.920158e-08 | 1.404711e-08 | 2.436110e-08 | 5.620655e-08 | 4.881876e-08 | 6.378181e-08 | 1.217634e-07 | 1.071758e-07 | 1.367026e-07 | 1.153153e-07 | 8.643643e-08 | 1.391320e-07 | 4.329490e-07 | 1.893071e-07 | 8.305520e-07 | 3.124905e-07 | 2.764502e-07 | 3.478379e-07 | 6.300962e-07 | 3.872906e-07 | 9.047882e-07 | 3.736 | -1.356000 | 2.380000 |  
GRB191101A   |    932742    | 3.083497e-07 | 2.503649e-07 | 3.662803e-07 | 5.285592e-07 | 4.646582e-07 | 5.966829e-07 | 6.206313e-07 | 5.239425e-07 | 7.184782e-07 | 3.586771e-07 | 2.050754e-07 | 4.481606e-07 | 8.980151e-07 | 3.126609e-07 | 1.914889e-06 | 1.816241e-06 | 1.573670e-06 | 2.059555e-06 | 2.355558e-06 | 1.711645e-06 | 3.094807e-06 | 164.7 | -21.244000 | 143.504000 |  
GRB191031D   |    932608    | 2.351630e-08 | N/A | N/A | 6.624285e-08 | N/A | N/A | 1.482890e-07 | N/A | N/A | 1.717904e-07 | N/A | N/A | 9.793523e-07 | 5.518472e-07 | 1.015030e-06 | 4.098064e-07 | N/A | N/A | 1.149791e-06 | 7.941618e-07 | 1.252100e-06 | 0.34 | -0.032000 | 0.308000 |  
GRB191031C   |    932595    | 9.578473e-07 | 8.704549e-07 | 1.046782e-06 | 1.812242e-06 | 1.725426e-06 | 1.900143e-06 | 2.445042e-06 | 2.315188e-06 | 2.576418e-06 | 1.633565e-06 | 1.427106e-06 | 1.839442e-06 | 4.748389e-06 | 3.326184e-06 | 5.679843e-06 | 6.848671e-06 | 6.536817e-06 | 7.159229e-06 | 9.963601e-06 | 8.525037e-06 | 1.209474e-05 | 104.5 | -37.984000 | 66.492000 |  
GRB191031A   |    932435    | 6.583530e-08 | 5.022719e-08 | 8.201981e-08 | 1.726032e-07 | 1.513348e-07 | 1.945400e-07 | 3.017024e-07 | 2.641368e-07 | 3.401721e-07 | 2.163360e-07 | 1.512512e-07 | 2.825847e-07 | 5.503878e-07 | 2.595666e-07 | 1.261040e-06 | 7.564823e-07 | 6.649651e-07 | 8.475958e-07 | 1.090533e-06 | 7.893849e-07 | 1.650588e-06 | 14.86 | -6.264000 | 8.596000 |  
GRB191029A   |    932058    | 1.898094e-07 | 1.518266e-07 | 2.280121e-07 | 3.313506e-07 | 2.902537e-07 | 3.765198e-07 | 3.637959e-07 | 2.973362e-07 | 4.297321e-07 | 1.776265e-07 | 8.766128e-08 | 2.747564e-07 | 3.565971e-07 | 1.163424e-07 | 8.897904e-07 | 1.062595e-06 | 9.062704e-07 | 1.223623e-06 | 1.241560e-06 | 9.472136e-07 | 1.819147e-06 | 46 | -4.000000 | 42.000000 |  
GRB191024A   |    931242    | 8.171580e-08 | 7.068155e-08 | 9.276537e-08 | 1.367559e-07 | 1.233747e-07 | 1.506905e-07 | 1.516198e-07 | 1.321679e-07 | 1.705203e-07 | 8.046111e-08 | 4.762512e-08 | 1.102519e-07 | 1.823711e-07 | 7.129286e-08 | 3.666874e-07 | 4.505531e-07 | 4.004479e-07 | 5.006636e-07 | 5.523648e-07 | 4.291371e-07 | 7.493006e-07 | 8.404 | -0.956000 | 7.448000 |  
GRB191019A   |    930285    | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 85.15 | -0.828000 | 84.320000 |  
GRB191017B   |    929981    | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 5.016 | -1.300000 | 3.716000 |  
GRB191016A   |    929744    | 8.535940e-07 | 7.805152e-07 | 9.278363e-07 | 1.519362e-06 | 1.452685e-06 | 1.586797e-06 | 1.942993e-06 | 1.841754e-06 | 2.045273e-06 | 1.269467e-06 | 1.092349e-06 | 1.442983e-06 | 3.739653e-06 | 2.540981e-06 | 5.100132e-06 | 5.585363e-06 | 5.323304e-06 | 5.846573e-06 | 8.055479e-06 | 6.828909e-06 | 9.525140e-06 | 161.6 | -42.828000 | 118.816000 |  
GRB191011A   |    928924    | 6.991468e-08 | 5.992505e-08 | 7.969450e-08 | 9.973517e-08 | 9.057706e-08 | 1.114239e-07 | 1.039222e-07 | 8.746581e-08 | 1.201153e-07 | 6.144242e-08 | 3.410031e-08 | 7.875141e-08 | 1.848155e-07 | 5.606197e-08 | 2.116841e-07 | 3.350182e-07 | 2.920441e-07 | 3.665122e-07 | 4.583828e-07 | 3.190277e-07 | 5.561966e-07 | 8.172 | -0.212000 | 7.960000 |  
GRB191004B   |    927839    | 2.469377e-07 | 1.966561e-07 | 2.860075e-07 | 5.971140e-07 | 5.409501e-07 | 6.584266e-07 | 1.118864e-06 | 1.006578e-06 | 1.238561e-06 | 1.029289e-06 | 8.003635e-07 | 1.184261e-06 | 4.405621e-06 | 2.030567e-06 | 5.401660e-06 | 2.992178e-06 | 2.695488e-06 | 3.262251e-06 | 6.422103e-06 | 3.994912e-06 | 8.735290e-06 | 384.2 | -1.452000 | 382.784000 |  
GRB191004A   |    927825    | 1.338985e-07 | 1.181370e-07 | 1.499463e-07 | 2.955805e-07 | 2.776233e-07 | 3.137950e-07 | 4.671278e-07 | 4.358487e-07 | 4.989027e-07 | 3.464542e-07 | 3.001137e-07 | 3.922888e-07 | 1.058171e-06 | 7.162521e-07 | 1.574548e-06 | 1.243071e-06 | 1.173507e-06 | 1.312429e-06 | 1.954771e-06 | 1.612300e-06 | 2.490553e-06 | 2.668 | -0.092000 | 2.576000 |  
GRB191001B   |    927345    | 5.925005e-07 | 5.060678e-07 | 6.811279e-07 | 1.167505e-06 | 1.085022e-06 | 1.251350e-06 | 1.585509e-06 | 1.455053e-06 | 1.718417e-06 | 1.012835e-06 | 8.300776e-07 | 1.197536e-06 | 2.656554e-06 | 1.658245e-06 | 4.452754e-06 | 4.358316e-06 | 4.063485e-06 | 4.653060e-06 | 6.001899e-06 | 4.970598e-06 | 7.700495e-06 | 121.4 | 4.728000 | 126.120000 |  
GRB190926A   |    926515    | 5.620688e-07 | 4.879435e-07 | 6.359888e-07 | 6.129279e-07 | 4.457891e-07 | 7.657898e-07 | 4.979314e-07 | 2.642649e-07 | 7.591011e-07 | 2.623370e-07 | 1.083177e-07 | 4.651141e-07 | 8.264363e-07 | 2.890144e-07 | 1.612499e-06 | 1.942046e-06 | 1.357968e-06 | 2.543662e-06 | 2.707319e-06 | 1.539145e-06 | 3.685441e-06 | 386.5 | -0.004000 | 386.468000 |  
GRB190829A   |    922968    | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 59.14 | -51.896000 | 7.240000 |  
GRB190828B   |    922808    | 5.077865e-07 | 4.166018e-07 | 5.957872e-07 | 1.015597e-06 | 9.152951e-07 | 1.123547e-06 | 1.602291e-06 | 1.411923e-06 | 1.814099e-06 | 1.363456e-06 | 1.003209e-06 | 1.503700e-06 | 5.919447e-06 | 2.454206e-06 | 6.424674e-06 | 4.490980e-06 | 3.959598e-06 | 4.853457e-06 | 9.109009e-06 | 5.543080e-06 | 9.126225e-06 | 940.7 | -42.360000 | 898.360000 |  
GRB190824A   |    922107    | 1.176438e-06 | 1.063724e-06 | 1.291127e-06 | 2.233824e-06 | 2.121040e-06 | 2.348166e-06 | 2.904683e-06 | 2.728279e-06 | 3.082754e-06 | 1.788953e-06 | 1.483812e-06 | 2.102513e-06 | 4.565610e-06 | 2.985100e-06 | 7.197619e-06 | 8.103802e-06 | 7.652597e-06 | 8.555175e-06 | 1.088050e-05 | 9.238018e-06 | 1.351789e-05 | 186.5 | -71.888000 | 114.640000 |  
GRB190821A   |    921722    | 4.991139e-07 | 4.488277e-07 | 5.501608e-07 | 7.405420e-07 | 6.969626e-07 | 7.849636e-07 | 7.015514e-07 | 6.416672e-07 | 7.607108e-07 | 3.190066e-07 | 2.306479e-07 | 4.157092e-07 | 6.465762e-07 | 3.622677e-07 | 1.205146e-06 | 2.260215e-06 | 2.107170e-06 | 2.414625e-06 | 2.587794e-06 | 2.256211e-06 | 3.166720e-06 | 62.8 | -3.308000 | 59.492000 |  
GRB190816A   |    920783    | 1.496272e-06 | N/A | N/A | 2.542439e-06 | 2.389630e-06 | 2.726971e-06 | 3.317573e-06 | 3.030614e-06 | 3.625522e-06 | 2.433328e-06 | N/A | N/A | 9.186721e-06 | N/A | N/A | 9.794009e-06 | 9.083862e-06 | 1.029462e-05 | 1.615030e-05 | 1.251096e-05 | 1.702906e-05 | 548 | -206.480000 | 341.552000 |  
GRB190727B   |    916733    | 2.107485e-06 | 1.967046e-06 | 2.189851e-06 | 2.776224e-06 | 2.661365e-06 | 2.848882e-06 | 2.807660e-06 | 2.678949e-06 | 3.772024e-06 | 1.813278e-06 | 1.716937e-06 | 1.914364e-06 | 6.403310e-06 | 6.122300e-06 | 6.747993e-06 | 9.155759e-06 | 8.721365e-06 | 9.491927e-06 | 1.337533e-05 | 1.275894e-05 | 1.435107e-05 | 60.44 | -21.488000 | 38.956000 |  
GRB190719C   |    915381    | 7.908252e-07 | 7.154026e-07 | 8.674022e-07 | 1.383504e-06 | 1.310179e-06 | 1.458010e-06 | 1.715381e-06 | 1.596248e-06 | 1.834892e-06 | 1.077955e-06 | 8.531207e-07 | 1.271893e-06 | 3.019885e-06 | 1.763602e-06 | 4.480438e-06 | 4.967645e-06 | 4.640455e-06 | 5.296276e-06 | 6.909562e-06 | 5.598872e-06 | 8.461757e-06 | 202.4 | -0.280000 | 202.124000 |  
GRB190718A   |    915091    | 7.152082e-09 | 7.200000e+02 | 6.038548e-08 | 1.012984e-07 | 7.200000e+02 | 2.266327e-07 | 3.947594e-08 | N/A | N/A | 7.143853e-11 | N/A | N/A | 7.142208e-11 | N/A | N/A | 1.439636e-07 | 7.200000e+02 | 3.512631e-07 | 1.433648e-07 | 7.200000e+02 | 3.512712e-07 | 720 | 0.568000 | 720.568000 |  
GRB190706B   |    913302    | 1.191795e-07 | 8.771855e-08 | 1.503354e-07 | 2.109509e-07 | 1.738887e-07 | 2.572535e-07 | 1.943351e-07 | 1.219892e-07 | 2.544962e-07 | 6.361965e-08 | 9.260008e-09 | 1.592397e-07 | 9.350211e-08 | 9.726157e-09 | 4.865991e-07 | 5.880595e-07 | 4.564691e-07 | 7.367522e-07 | 6.181889e-07 | 4.579640e-07 | 1.013915e-06 | 51.58 | -0.248000 | 51.336000 |  
GRB190701A   |    912310    | 1.737780e-07 | 1.338920e-07 | 2.129878e-07 | 2.561561e-07 | 2.173425e-07 | 3.039658e-07 | 2.697893e-07 | 2.052933e-07 | 3.364145e-07 | 1.553012e-07 | 6.100207e-08 | 2.200264e-07 | 4.341249e-07 | 8.361512e-08 | 5.840294e-07 | 8.550171e-07 | 6.910744e-07 | 9.965631e-07 | 1.133848e-06 | 7.282403e-07 | 1.429831e-06 | 54.98 | 35.016000 | 89.992000 |  
GRB190630C   |    912239    | 4.565668e-07 | 4.058769e-07 | 5.075097e-07 | 7.295488e-07 | 6.757008e-07 | 7.850082e-07 | 6.742865e-07 | 5.915401e-07 | 7.514226e-07 | 2.596058e-07 | 1.515076e-07 | 3.902602e-07 | 4.368319e-07 | 1.983692e-07 | 9.912297e-07 | 2.119992e-06 | 1.927855e-06 | 2.318111e-06 | 2.296647e-06 | 1.984652e-06 | 2.882467e-06 | 52.15 | -1.920000 | 50.232000 |  
GRB190630B   |    912102    | 3.135053e-08 | 2.259565e-08 | 3.830936e-08 | 6.414529e-08 | 5.472489e-08 | 7.518044e-08 | 9.992518e-08 | 8.217223e-08 | 1.187668e-07 | 8.007460e-08 | 4.479349e-08 | 1.060657e-07 | 3.038609e-07 | 7.740780e-08 | 3.746234e-07 | 2.754957e-07 | 2.272348e-07 | 3.198932e-07 | 4.992693e-07 | 2.668731e-07 | 5.805570e-07 | 6.388 | -1.684000 | 4.704000 |  
GRB190627A   |    911609    | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.956 | -0.012000 | 2.944000 |  
GRB190613B   |    908329    | 3.598721e-07 | 2.675890e-07 | 4.292479e-07 | 4.907815e-07 | 3.776576e-07 | 5.726882e-07 | 4.450084e-07 | 2.592198e-07 | 5.605162e-07 | 5.062887e-07 | 3.128443e-07 | 5.417491e-07 | 1.822335e-06 | 9.483053e-07 | 1.995116e-06 | 2.187903e-06 | 1.728694e-06 | 2.330119e-06 | 3.313738e-06 | 2.298202e-06 | 4.179922e-06 | 178.5 | -2.848000 | 175.652000 |  
